性能分析详细报告
================================================================================

按累积时间排序:
----------------------------------------
         259480761 function calls (259154600 primitive calls) in 716.733 seconds

   Ordered by: cumulative time
   List reduced from 1682 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    239/1    0.001    0.000  717.181  717.181 <frozen importlib._bootstrap_external>:934(exec_module)
    758/1    0.000    0.000  717.181  717.181 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    239/1    0.001    0.000  717.181  717.181 {built-in method builtins.exec}
        1   36.774   36.774  717.180  717.180 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/no_control_sim.py:1(<module>)
    18000    0.040    0.000  493.122    0.027 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sumo_adapter.py:131(simulationStep)
    18000    0.116    0.000  493.082    0.027 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/__init__.py:196(simulationStep)
    18000    0.053    0.000  492.851    0.027 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:3712(step)
    18000  492.798    0.027  492.798    0.027 {built-in method libsumo._libsumo.simulation_step}
   975025   21.632    0.000   92.597    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/bus.py:104(bus_running)
 45036658   18.162    0.000   49.153    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/passenger.py:46(passenger_run)
  1484630    0.369    0.000   44.753    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:5269(getNextLinks)
  1484630   44.384    0.000   44.384    0.000 {built-in method libsumo._libsumo.vehicle_getNextLinks}
 25485414    3.776    0.000   18.055    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:5882(getLaneID)
 25485414   14.279    0.000   14.279    0.000 {built-in method libsumo._libsumo.person_getLaneID}
    18001    0.023    0.000   13.873    0.001 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:5369(getIDList)
    18001   13.850    0.001   13.850    0.001 {built-in method libsumo._libsumo.vehicle_getIDList}
 19637046    2.927    0.000   12.924    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:5898(getVehicle)
 42107531   11.930    0.000   12.249    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/bus.py:47(_get_lane_length_cached)
 19637046    9.998    0.000    9.998    0.000 {built-in method libsumo._libsumo.person_getVehicle}
    18001    0.021    0.000    8.816    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:5942(getIDList)
    18001    8.795    0.000    8.795    0.000 {built-in method libsumo._libsumo.person_getIDList}
  4428246    0.700    0.000    6.331    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:4098(getParameter)
   221400    3.133    0.000    6.236    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/signal.py:60(update_queue_number)
  4428246    5.630    0.000    5.630    0.000 {built-in method libsumo._libsumo.trafficlight_getParameter}
   310240    0.092    0.000    5.081    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:5261(getNextTLS)
   310240    4.989    0.000    4.989    0.000 {built-in method libsumo._libsumo.vehicle_getNextTLS}
        1    0.387    0.387    2.908    2.908 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/save_data.py:61(save_signal_data)
 10716504    1.720    0.000    2.520    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sumo_adapter.py:86(__getattr__)
  4002925    0.773    0.000    2.159    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:5127(getLaneID)
        4    0.000    0.000    1.979    0.495 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/xml/etree/ElementTree.py:694(write)
      353    1.969    0.006    1.973    0.006 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/stop.py:44(get_passenger_arriver_rate)
    49200    1.341    0.000    1.676    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/signal.py:40(update_signal_state)
  2115900    0.334    0.000    1.607    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:2974(getLastStepHaltingNumber)
 322267/4    0.808    0.000    1.525    0.381 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/xml/etree/ElementTree.py:865(_serialize_xml)
   686609    0.345    0.000    1.394    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/__init__.py:82(wrapper)
  4002925    1.386    0.000    1.386    0.000 {built-in method libsumo._libsumo.vehicle_getLaneID}
  2115900    1.273    0.000    1.273    0.000 {built-in method libsumo._libsumo.lane_getLastStepHaltingNumber}
   221400    0.607    0.000    1.199    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/save_data.py:83(<listcomp>)
        1    0.051    0.051    1.098    1.098 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/save_data.py:122(save_bus_data)
   686609    0.261    0.000    1.049    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/traci/_vehicle.py:877(isAtBusStop)
  1010096    1.018    0.000    1.018    0.000 {method 'keys' of 'dict' objects}
  1923252    0.430    0.000    0.958    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:5163(getLanePosition)
 12838060    0.916    0.000    0.916    0.000 {built-in method builtins.getattr}
   686609    0.175    0.000    0.788    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:5277(getStopState)
        1    0.078    0.078    0.735    0.735 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/save_data.py:189(save_passenger_data)
  1276642    0.282    0.000    0.713    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:5091(getSpeed)
