总运行时间: 36.65秒

按总时间排序:
==================================================
         12294852 function calls (12199946 primitive calls) in 35.562 seconds

   Ordered by: internal time
   List reduced from 1651 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2000   27.218    0.014   27.218    0.014 {built-in method libsumo._libsumo.simulation_step}
      353    1.701    0.005    1.704    0.005 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/stop.py:44(get_passenger_arriver_rate)
    19144    0.782    0.000    0.782    0.000 {built-in method libsumo._libsumo.vehicle_getNextLinks}
   492246    0.606    0.000    0.606    0.000 {built-in method libsumo._libsumo.trafficlight_getParameter}
        1    0.461    0.461    0.461    0.461 {built-in method libsumo._libsumo.simulation_start}
   709451    0.324    0.000    0.324    0.000 {built-in method libsumo._libsumo.lane_getLength}
    11544    0.314    0.000    1.656    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/bus.py:95(bus_running)
  91026/4    0.313    0.000    0.556    0.139 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/xml/etree/ElementTree.py:865(_serialize_xml)
   802652    0.286    0.000    0.719    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/passenger.py:46(passenger_run)
   896129    0.264    0.000    0.264    0.000 {built-in method libsumo._libsumo.vehicle_getTypeID}
   645386    0.246    0.000    0.246    0.000 {built-in method libsumo._libsumo.person_getVehicle}
    24600    0.243    0.000    0.425    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/signal.py:60(update_queue_number)
     2001    0.194    0.000    0.194    0.000 {built-in method libsumo._libsumo.vehicle_getIDList}
     5658    0.144    0.000    0.183    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/signal.py:40(update_signal_state)
     2001    0.139    0.000    0.139    0.000 {built-in method libsumo._libsumo.person_getIDList}
        6    0.133    0.022    0.133    0.022 {method '_parse_whole' of 'xml.etree.ElementTree.XMLParser' objects}
   235100    0.131    0.000    0.131    0.000 {built-in method libsumo._libsumo.lane_getLastStepHaltingNumber}
   896129    0.119    0.000    0.383    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:5143(getTypeID)
   650080    0.109    0.000    0.109    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.107    0.107    0.107    0.107 {built-in method libsumo._libsumo.simulation_close}
        4    0.105    0.026    0.156    0.039 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/xml/etree/ElementTree.py:804(_namespaces)
   709451    0.095    0.000    0.419    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:2882(getLength)
   645386    0.091    0.000    0.337    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:5898(getVehicle)
    30036    0.082    0.000    0.110    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/save_data.py:206(<listcomp>)
        1    0.078    0.078    0.764    0.764 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/save_data.py:189(save_passenger_data)
   492246    0.076    0.000    0.682    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:4098(getParameter)
  1541785    0.074    0.000    0.074    0.000 {built-in method builtins.isinstance}
   158919    0.072    0.000    0.072    0.000 {built-in method libsumo._libsumo.person_getLaneID}
    24600    0.064    0.000    0.123    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/save_data.py:83(<listcomp>)
   314946    0.061    0.000    0.061    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/xml/etree/ElementTree.py:1039(_escape_attrib)
        1    0.056    0.056    0.263    0.263 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/create_obj.py:28(create_obj_fun)
     2198    0.053    0.000    0.053    0.000 {built-in method libsumo._libsumo.vehicle_getNextTLS}
    30036    0.040    0.000    0.040    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/passenger.py:10(__init__)
      353    0.039    0.000    0.080    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/stop.py:28(get_accessible_stop)
    18291    0.039    0.000    0.040    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/line.py:50(get_next_stop_id_by_this_stop_id)
    41/40    0.036    0.001    0.036    0.001 {built-in method _imp.create_dynamic}
   235100    0.033    0.000    0.165    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:2974(getLastStepHaltingNumber)
        1    0.033    0.033    0.294    0.294 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/save_data.py:61(save_signal_data)
   182052    0.033    0.000    0.033    0.000 {method 'items' of 'xml.etree.ElementTree.Element' objects}
    54073    0.031    0.000    0.031    0.000 {built-in method libsumo._libsumo.inductionloop_getTimeSinceDetection}
   324900    0.030    0.000    0.030    0.000 {method 'join' of 'str' objects}
   314946    0.026    0.000    0.026    0.000 {method 'set' of 'xml.etree.ElementTree.Element' objects}
   158919    0.024    0.000    0.096    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:5882(getLaneID)
      237    0.024    0.000    0.024    0.000 {built-in method marshal.loads}
   347519    0.023    0.000    0.023    0.000 {method 'append' of 'list' objects}
   306434    0.019    0.000    0.019    0.000 {method 'get' of 'xml.etree.ElementTree.Element' objects}
    50831    0.016    0.000    0.016    0.000 {built-in method libsumo._libsumo.vehicle_getLaneID}
    29316    0.015    0.000    0.017    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/passenger.py:87(passenger_end)
   122050    0.014    0.000    0.014    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/xml/etree/ElementTree.py:1023(_escape_cdata)
132857/132542    0.013    0.000    0.013    0.000 {built-in method builtins.len}




按累积时间排序:
==================================================
         12294852 function calls (12199946 primitive calls) in 35.562 seconds

   Ordered by: cumulative time
   List reduced from 1651 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    238/1    0.002    0.000   36.648   36.648 {built-in method builtins.exec}
     2000    0.004    0.000   27.249    0.014 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sumo_adapter.py:65(simulationStep)
     2000    0.011    0.000   27.245    0.014 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/__init__.py:196(simulationStep)
     2000    0.005    0.000   27.224    0.014 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:3712(step)
     2000   27.218    0.014   27.218    0.014 {built-in method libsumo._libsumo.simulation_step}
      353    1.701    0.005    1.704    0.005 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/stop.py:44(get_passenger_arriver_rate)
    11544    0.314    0.000    1.656    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/bus.py:95(bus_running)
    19144    0.005    0.000    0.787    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:5269(getNextLinks)
    19144    0.782    0.000    0.782    0.000 {built-in method libsumo._libsumo.vehicle_getNextLinks}
        1    0.078    0.078    0.764    0.764 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/save_data.py:189(save_passenger_data)
        4    0.000    0.000    0.723    0.181 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/xml/etree/ElementTree.py:694(write)
   802652    0.286    0.000    0.719    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/passenger.py:46(passenger_run)
   492246    0.076    0.000    0.682    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:4098(getParameter)
   492246    0.606    0.000    0.606    0.000 {built-in method libsumo._libsumo.trafficlight_getParameter}
  91026/4    0.313    0.000    0.556    0.139 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/xml/etree/ElementTree.py:865(_serialize_xml)
        1    0.000    0.000    0.461    0.461 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sumo_adapter.py:36(start)
        1    0.000    0.000    0.461    0.461 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/__init__.py:209(start)
        1    0.000    0.000    0.461    0.461 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:3680(start)
        1    0.461    0.461    0.461    0.461 {built-in method libsumo._libsumo.simulation_start}
    24600    0.243    0.000    0.425    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/signal.py:60(update_queue_number)
   709451    0.095    0.000    0.419    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:2882(getLength)
   896129    0.119    0.000    0.383    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:5143(getTypeID)
   645386    0.091    0.000    0.337    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:5898(getVehicle)
   709451    0.324    0.000    0.324    0.000 {built-in method libsumo._libsumo.lane_getLength}
        1    0.033    0.033    0.294    0.294 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/save_data.py:61(save_signal_data)
   896129    0.264    0.000    0.264    0.000 {built-in method libsumo._libsumo.vehicle_getTypeID}
        1    0.056    0.056    0.263    0.263 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/create_obj.py:28(create_obj_fun)
   645386    0.246    0.000    0.246    0.000 {built-in method libsumo._libsumo.person_getVehicle}
     2001    0.002    0.000    0.196    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:5369(getIDList)
    295/3    0.001    0.000    0.194    0.065 <frozen importlib._bootstrap>:1165(_find_and_load)
    295/3    0.001    0.000    0.194    0.065 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
     2001    0.194    0.000    0.194    0.000 {built-in method libsumo._libsumo.vehicle_getIDList}
    296/3    0.001    0.000    0.194    0.065 <frozen importlib._bootstrap>:1207(_handle_fromlist)
    281/3    0.001    0.000    0.194    0.065 <frozen importlib._bootstrap>:666(_load_unlocked)
    752/4    0.000    0.000    0.194    0.048 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    458/2    0.001    0.000    0.194    0.097 {built-in method builtins.__import__}
    237/3    0.001    0.000    0.194    0.065 <frozen importlib._bootstrap_external>:934(exec_module)
        1    0.000    0.000    0.193    0.193 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/create_obj.py:1(<module>)
        1    0.000    0.000    0.189    0.189 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/passenger.py:1(<module>)
        1    0.000    0.000    0.189    0.189 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sumo_adapter.py:1(<module>)
        1    0.000    0.000    0.189    0.189 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/__init__.py:1(<module>)
     5658    0.144    0.000    0.183    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/signal.py:40(update_signal_state)
   235100    0.033    0.000    0.165    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:2974(getLastStepHaltingNumber)
        4    0.105    0.026    0.156    0.039 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/xml/etree/ElementTree.py:804(_namespaces)
        1    0.000    0.000    0.155    0.155 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/traci/__init__.py:1(<module>)
        1    0.000    0.000    0.155    0.155 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/traci/main.py:1(<module>)
        1    0.000    0.000    0.143    0.143 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/sumolib/__init__.py:1(<module>)
     2001    0.002    0.000    0.141    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:5942(getIDList)
     2001    0.139    0.000    0.139    0.000 {built-in method libsumo._libsumo.person_getIDList}
        6    0.000    0.000    0.133    0.022 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/xml/etree/ElementTree.py:1209(parse)




SUMO相关调用:
==================================================
         12294852 function calls (12199946 primitive calls) in 35.562 seconds

   Ordered by: cumulative time
   List reduced from 1651 to 1355 due to restriction <'sumo'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2000    0.004    0.000   27.249    0.014 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sumo_adapter.py:65(simulationStep)
     2000    0.011    0.000   27.245    0.014 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/__init__.py:196(simulationStep)
     2000    0.005    0.000   27.224    0.014 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:3712(step)
     2000   27.218    0.014   27.218    0.014 {built-in method libsumo._libsumo.simulation_step}
      353    1.701    0.005    1.704    0.005 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/stop.py:44(get_passenger_arriver_rate)
    11544    0.314    0.000    1.656    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/bus.py:95(bus_running)
    19144    0.005    0.000    0.787    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:5269(getNextLinks)
    19144    0.782    0.000    0.782    0.000 {built-in method libsumo._libsumo.vehicle_getNextLinks}
        1    0.078    0.078    0.764    0.764 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/save_data.py:189(save_passenger_data)
        4    0.000    0.000    0.723    0.181 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/xml/etree/ElementTree.py:694(write)
   802652    0.286    0.000    0.719    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/passenger.py:46(passenger_run)
   492246    0.076    0.000    0.682    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:4098(getParameter)
